year,prefecture,sales_quantity_kl,sales_source,production_quantity_kl,production_source,region
1970,福岡,66933.0,jikeiretsu_13,,,九州・沖縄
1970,佐賀,16993.0,jikeiretsu_13,,,九州・沖縄
1970,長崎,23962.0,jikeiretsu_13,,,九州・沖縄
1970,熊本,18129.0,jikeiretsu_13,,,九州・沖縄
1970,大分,16349.0,jikeiretsu_13,,,九州・沖縄
1970,宮崎,2791.0,jikeiretsu_13,,,九州・沖縄
1970,鹿児島,1678.0,jikeiretsu_13,,,九州・沖縄
1970,沖縄,,jikeiretsu_13,,,九州・沖縄
1971,北海道,73529.0,jikeiretsu_13,,,北海道
1971,青森,27268.0,jikeiretsu_13,,,東北
1971,岩手,26715.0,jikeiretsu_13,,,東北
1971,宮城,34833.0,jikeiretsu_13,,,東北
1971,秋田,32072.0,jikeiretsu_13,,,東北
1971,山形,26701.0,jikeiretsu_13,,,東北
1971,福島,41095.0,jikeiretsu_13,,,東北
1971,茨城,37185.0,jikeiretsu_13,,,関東
1971,栃木,29207.0,jikeiretsu_13,,,関東
1971,群馬,27298.0,jikeiretsu_13,,,関東
1971,埼玉,53785.0,jikeiretsu_13,,,関東
1971,千葉,46339.0,jikeiretsu_13,,,関東
1971,東京,154729.0,jikeiretsu_13,,,関東
1971,神奈川,70209.0,jikeiretsu_13,,,関東
1971,新潟,49971.0,jikeiretsu_13,,,中部
1971,富山,19080.0,jikeiretsu_13,,,中部
1971,石川,16941.0,jikeiretsu_13,,,中部
1971,福井,11484.0,jikeiretsu_13,,,中部
1971,山梨,12934.0,jikeiretsu_13,,,中部
1971,長野,37682.0,jikeiretsu_13,,,中部
1971,岐阜,23009.0,jikeiretsu_13,,,中部
1971,静岡,48917.0,jikeiretsu_13,,,中部
1971,愛知,61584.0,jikeiretsu_13,,,中部
1971,三重,19933.0,jikeiretsu_13,,,中部
1971,滋賀,14289.0,jikeiretsu_13,,,近畿
1971,京都,29016.0,jikeiretsu_13,,,近畿
1971,大阪,105364.0,jikeiretsu_13,,,近畿
1971,兵庫,60941.0,jikeiretsu_13,,,近畿
1971,奈良,11279.0,jikeiretsu_13,,,近畿
1971,和歌山,16058.0,jikeiretsu_13,,,近畿
1971,鳥取,11539.0,jikeiretsu_13,,,中国
1971,島根,17029.0,jikeiretsu_13,,,中国
1971,岡山,26714.0,jikeiretsu_13,,,中国
1971,広島,41612.0,jikeiretsu_13,,,中国
1971,山口,27366.0,jikeiretsu_13,,,中国
1971,徳島,11721.0,jikeiretsu_13,,,四国
1971,香川,12781.0,jikeiretsu_13,,,四国
1971,愛媛,22041.0,jikeiretsu_13,,,四国
1971,高知,15597.0,jikeiretsu_13,,,四国
1971,福岡,66151.0,jikeiretsu_13,,,九州・沖縄
1971,佐賀,17171.0,jikeiretsu_13,,,九州・沖縄
1971,長崎,23807.0,jikeiretsu_13,,,九州・沖縄
1971,熊本,17727.0,jikeiretsu_13,,,九州・沖縄
1971,大分,16199.0,jikeiretsu_13,,,九州・沖縄
1971,宮崎,2785.0,jikeiretsu_13,,,九州・沖縄
1971,鹿児島,1719.0,jikeiretsu_13,,,九州・沖縄
1971,沖縄,,jikeiretsu_13,,,九州・沖縄
1972,北海道,74275.0,jikeiretsu_13,,,北海道
1972,青森,27886.0,jikeiretsu_13,,,東北
1972,岩手,27989.0,jikeiretsu_13,,,東北
1972,宮城,36249.0,jikeiretsu_13,,,東北
1972,秋田,33479.0,jikeiretsu_13,,,東北
1972,山形,28241.0,jikeiretsu_13,,,東北
1972,福島,42231.0,jikeiretsu_13,,,東北
1972,茨城,38494.0,jikeiretsu_13,,,関東
1972,栃木,30485.0,jikeiretsu_13,,,関東
1972,群馬,28668.0,jikeiretsu_13,,,関東
1972,埼玉,56641.0,jikeiretsu_13,,,関東
1972,千葉,48968.0,jikeiretsu_13,,,関東
1972,東京,157360.0,jikeiretsu_13,,,関東
1972,神奈川,72494.0,jikeiretsu_13,,,関東
1972,新潟,52632.0,jikeiretsu_13,,,中部
1972,富山,19595.0,jikeiretsu_13,,,中部
1972,石川,17922.0,jikeiretsu_13,,,中部
1972,福井,11957.0,jikeiretsu_13,,,中部
1972,山梨,13514.0,jikeiretsu_13,,,中部
1972,長野,40443.0,jikeiretsu_13,,,中部
1972,岐阜,24264.0,jikeiretsu_13,,,中部
1972,静岡,49424.0,jikeiretsu_13,,,中部
1972,愛知,64951.0,jikeiretsu_13,,,中部
1972,三重,21445.0,jikeiretsu_13,,,中部
1972,滋賀,14816.0,jikeiretsu_13,,,近畿
1972,京都,30618.0,jikeiretsu_13,,,近畿
1972,大阪,108911.0,jikeiretsu_13,,,近畿
1972,兵庫,63420.0,jikeiretsu_13,,,近畿
1972,奈良,12361.0,jikeiretsu_13,,,近畿
1972,和歌山,16903.0,jikeiretsu_13,,,近畿
1972,鳥取,12756.0,jikeiretsu_13,,,中国
1972,島根,17968.0,jikeiretsu_13,,,中国
1972,岡山,27870.0,jikeiretsu_13,,,中国
1972,広島,44505.0,jikeiretsu_13,,,中国
1972,山口,28875.0,jikeiretsu_13,,,中国
1972,徳島,12170.0,jikeiretsu_13,,,四国
1972,香川,13537.0,jikeiretsu_13,,,四国
1972,愛媛,23648.0,jikeiretsu_13,,,四国
1972,高知,16846.0,jikeiretsu_13,,,四国
1972,福岡,68194.0,jikeiretsu_13,,,九州・沖縄
1972,佐賀,17683.0,jikeiretsu_13,,,九州・沖縄
1972,長崎,24242.0,jikeiretsu_13,,,九州・沖縄
1972,熊本,18369.0,jikeiretsu_13,,,九州・沖縄
1972,大分,15706.0,jikeiretsu_13,,,九州・沖縄
1972,宮崎,2979.0,jikeiretsu_13,,,九州・沖縄
1972,鹿児島,1961.0,jikeiretsu_13,,,九州・沖縄
1972,沖縄,,jikeiretsu_13,,,九州・沖縄
1973,北海道,73945.0,jikeiretsu_13,,,北海道
1973,青森,27688.0,jikeiretsu_13,,,東北
1973,岩手,28368.0,jikeiretsu_13,,,東北
1973,宮城,37369.0,jikeiretsu_13,,,東北
1973,秋田,34120.0,jikeiretsu_13,,,東北
1973,山形,28312.0,jikeiretsu_13,,,東北
1973,福島,42432.0,jikeiretsu_13,,,東北
1973,茨城,40316.0,jikeiretsu_13,,,関東
1973,栃木,32202.0,jikeiretsu_13,,,関東
1973,群馬,29241.0,jikeiretsu_13,,,関東
1973,埼玉,59088.0,jikeiretsu_13,,,関東
1973,千葉,50898.0,jikeiretsu_13,,,関東
1973,東京,162399.0,jikeiretsu_13,,,関東
1973,神奈川,74958.0,jikeiretsu_13,,,関東
1973,新潟,54115.0,jikeiretsu_13,,,中部
1973,富山,19531.0,jikeiretsu_13,,,中部
1973,石川,18764.0,jikeiretsu_13,,,中部
1973,福井,12052.0,jikeiretsu_13,,,中部
1973,山梨,13869.0,jikeiretsu_13,,,中部
1973,長野,40588.0,jikeiretsu_13,,,中部
1973,岐阜,25153.0,jikeiretsu_13,,,中部
1973,静岡,51857.0,jikeiretsu_13,,,中部
1973,愛知,66020.0,jikeiretsu_13,,,中部
1973,三重,21952.0,jikeiretsu_13,,,中部
1973,滋賀,15232.0,jikeiretsu_13,,,近畿
1973,京都,30715.0,jikeiretsu_13,,,近畿
1973,大阪,114363.0,jikeiretsu_13,,,近畿
1973,兵庫,65887.0,jikeiretsu_13,,,近畿
