year,prefecture,business_count,domestic_volume_kl,domestic_amount_mil,export_volume_kl,export_amount_mil,export_ratio_volume_pct,export_ratio_amount_pct,source
2022,岡山,45.0,27.0,1656.0,1789.0,27.0,35.0,1.6,新概況 r05
2022,広島,50.0,33.0,5588.0,5592.0,279.0,315.0,4.8,新概況 r05
2022,山口,38.0,18.0,3931.0,9672.0,2721.0,7165.0,40.9,新概況 r05
2022,徳島,22.0,7.0,319.0,340.0,30.0,32.0,8.5,新概況 r05
2022,香川,7.0,5.0,284.0,324.0,21.0,29.0,6.8,新概況 r05
2022,愛媛,37.0,19.0,1143.0,1225.0,16.0,31.0,1.4,新概況 r05
2022,高知,18.0,12.0,3904.0,3632.0,251.0,295.0,6.0,新概況 r05
2022,福岡,57.0,42.0,3106.0,3004.0,259.0,228.0,7.7,新概況 r05
2022,佐賀,24.0,20.0,2475.0,3163.0,52.0,72.0,2.0,新概況 r05
2022,長崎,14.0,11.0,758.0,799.0,17.0,22.0,2.2,新概況 r05
2022,熊本,11.0,9.0,902.0,1030.0,6.0,10.0,0.6,新概況 r05
2022,大分,32.0,26.0,1830.0,1549.0,34.0,29.0,1.8,新概況 r05
2022,宮崎,2.0,2.0,86.0,91.0,1.0,0.0,0.7,新概況 r05
2022,鹿児島,2.0,2.0,48.0,85.0,27.0,44.0,36.3,新概況 r05
2022,沖縄,,,,,,,,新概況 r05
2023,北海道,14.0,3685.0,4309.0,182.0,217.3,4.7,4.8,新概況 r06
2023,青森,12.0,2441.0,2910.0,86.0,82.0,3.4,2.7,新概況 r06
2023,岩手,20.0,3387.0,3576.0,110.0,137.0,3.1,3.7,新概況 r06
2023,宮城,28.0,7173.0,7445.0,169.0,377.0,2.3,4.8,新概況 r06
2023,秋田,31.0,15718.0,13180.0,322.0,424.0,2.0,3.1,新概況 r06
2023,山形,45.0,7841.0,10030.0,318.0,493.0,3.9,4.7,新概況 r06
2023,福島,59.0,9521.0,10015.0,159.0,215.0,1.6,2.1,新概況 r06
2023,茨城,28.0,1490.0,1662.0,27.0,38.0,1.8,2.2,新概況 r06
2023,栃木,23.0,7338.0,4723.0,261.0,173.0,3.4,3.5,新概況 r06
2023,群馬,18.0,1772.0,1614.0,45.0,63.0,2.5,3.7,新概況 r06
2023,埼玉,27.0,19997.0,13361.0,220.0,118.0,1.1,0.9,新概況 r06
2023,新潟,83.0,33403.0,35207.0,918.0,1366.0,2.7,3.7,新概況 r06
2023,長野,63.0,8404.0,8762.0,239.0,337.0,2.8,3.7,新概況 r06
2023,千葉,26.0,12207.0,5381.0,103.0,97.0,0.8,1.8,新概況 r06
2023,東京,13.0,2125.0,1939.0,19.0,28.0,0.9,1.4,新概況 r06
2023,神奈川,10.0,691.0,933.0,22.0,47.0,3.0,4.8,新概況 r06
2023,山梨,9.0,979.0,1206.0,36.0,53.0,3.6,4.2,新概況 r06
2023,富山,11.0,2891.0,3189.0,60.0,130.0,2.0,3.9,新概況 r06
2023,石川,13.0,1726.0,2438.0,89.0,187.0,4.9,7.1,新概況 r06
2023,福井,22.0,2604.0,4167.0,257.0,562.0,9.0,11.9,新概況 r06
2023,岐阜,42.0,3959.0,4381.0,392.0,252.0,9.0,5.4,新概況 r06
2023,静岡,24.0,2925.0,3724.0,337.0,389.0,10.3,9.5,新概況 r06
2023,愛知,36.0,13186.0,7189.0,161.0,252.0,1.2,3.4,新概況 r06
2023,三重,23.0,1797.0,2996.0,38.0,95.0,2.1,3.1,新概況 r06
2023,滋賀,24.0,1438.0,1704.0,48.0,70.0,3.2,3.9,新概況 r06
2023,京都,29.0,93726.0,47741.0,3084.0,1777.0,3.2,3.6,新概況 r06
2023,大阪,13.0,709.0,948.0,139.0,1069.0,16.4,53.0,新概況 r06
2023,兵庫,57.0,78294.0,43612.0,6316.0,3470.0,7.5,7.4,新概況 r06
2023,奈良,24.0,3133.0,3360.0,516.0,238.0,14.1,6.6,新概況 r06
2023,和歌山,15.0,3642.0,1923.0,99.0,100.0,2.7,4.9,新概況 r06
2023,鳥取,17.0,663.0,916.0,86.0,131.0,11.5,12.5,新概況 r06
2023,島根,29.0,1819.0,2159.0,84.0,100.0,4.4,4.4,新概況 r06
2023,岡山,31.0,1803.0,2033.0,61.0,77.0,3.3,3.6,新概況 r06
2023,広島,31.0,5383.0,5385.0,234.0,234.0,4.2,4.2,新概況 r06
2023,山口,23.0,5526.0,12381.0,2553.0,6940.0,31.6,35.9,新概況 r06
2023,徳島,13.0,334.0,383.0,23.0,29.0,6.5,7.1,新概況 r06
2023,香川,6.0,838.0,942.0,24.0,35.0,2.8,3.6,新概況 r06
2023,愛媛,26.0,1225.0,1434.0,24.0,43.0,1.9,2.9,新概況 r06
2023,高知,14.0,4320.0,4367.0,70.0,106.0,1.6,2.4,新概況 r06
2023,福岡,39.0,3950.0,3402.0,207.0,187.0,5.0,5.2,新概況 r06
2023,佐賀,20.0,2638.0,3436.0,58.0,92.0,2.2,2.6,新概況 r06
2023,長崎,11.0,942.0,1059.0,18.0,25.0,1.8,2.3,新概況 r06
2023,熊本,9.0,865.0,1052.0,2.0,4.0,0.2,0.4,新概況 r06
2023,大分,25.0,1859.0,1632.0,30.0,28.0,1.6,1.7,新概況 r06
2023,宮崎,2.0,110.0,153.0,1.0,3.0,1.3,1.7,新概況 r06
2023,鹿児島,2.0,53.0,92.0,20.0,40.0,27.2,30.4,新概況 r06
2023,沖縄,1.0,,,,,,,新概況 r06
2024,北海道,14.0,3143.0,4165.0,181.0,261.0,5.4,5.9,新概況 r07
2024,青森,13.0,3446.0,4562.0,99.0,113.0,2.8,2.4,新概況 r07
2024,岩手,21.0,3097.0,3561.0,217.0,314.0,6.6,8.1,新概況 r07
2024,宮城,29.0,6989.0,7607.0,190.0,463.0,2.6,5.7,新概況 r07
2024,秋田,36.0,15461.0,13399.0,342.0,453.0,2.2,3.3,新概況 r07
2024,山形,48.0,7187.0,9710.0,296.0,457.0,4.0,4.5,新概況 r07
2024,福島,57.0,8759.0,9072.0,183.0,266.0,2.0,2.9,新概況 r07
2024,茨城,31.0,1406.0,1631.0,51.0,84.0,3.5,4.9,新概況 r07
2024,栃木,31.0,8060.0,5422.0,301.0,194.0,3.6,3.5,新概況 r07
2024,群馬,16.0,1804.0,1585.0,55.0,81.0,2.9,4.9,新概況 r07
2024,埼玉,27.0,19237.0,13822.0,270.0,142.0,1.4,1.0,新概況 r07
2024,新潟,86.0,33053.0,35679.0,1745.0,1701.0,5.0,4.5,新概況 r07
2024,長野,72.0,8734.0,9427.0,207.0,330.0,2.3,3.4,新概況 r07
2024,千葉,27.0,12545.0,5955.0,147.0,153.0,1.2,2.5,新概況 r07
2024,東京,15.0,2072.0,1965.0,36.0,42.0,1.7,2.1,新概況 r07
2024,神奈川,13.0,903.0,1337.0,25.0,57.0,2.7,4.1,新概況 r07
2024,山梨,11.0,1539.0,1523.0,39.0,67.0,2.5,4.2,新概況 r07
2024,富山,14.0,2787.0,3566.0,54.0,377.0,1.9,9.6,新概況 r07
2024,石川,22.0,4358.0,5157.0,88.0,179.0,2.0,3.4,新概況 r07
2024,福井,24.0,2675.0,4214.0,194.0,433.0,6.8,9.3,新概況 r07
2024,岐阜,42.0,3864.0,4498.0,341.0,214.0,8.1,4.5,新概況 r07
2024,静岡,23.0,3070.0,3797.0,234.0,315.0,7.1,7.7,新概況 r07
2024,愛知,38.0,11230.0,6523.0,139.0,240.0,1.2,3.6,新概況 r07
2024,三重,22.0,2067.0,3358.0,35.0,80.0,1.7,2.3,新概況 r07
2024,滋賀,26.0,2400.0,2112.0,41.0,67.0,1.7,3.1,新概況 r07
2024,京都,37.0,86078.0,46840.0,3236.0,1887.0,3.6,3.9,新概況 r07
2024,大阪,15.0,635.0,889.0,227.0,2238.0,26.4,71.6,新概況 r07
2024,兵庫,57.0,77780.0,42417.0,6754.0,3947.0,8.0,8.5,新概況 r07
2024,奈良,28.0,3026.0,3331.0,111.0,149.0,3.5,4.3,新概況 r07
2024,和歌山,15.0,3734.0,1877.0,62.0,74.0,1.6,3.8,新概況 r07
2024,鳥取,17.0,829.0,1041.0,133.0,173.0,13.9,14.3,新概況 r07
2024,島根,30.0,1846.0,2235.0,165.0,212.0,8.2,8.7,新概況 r07
2024,岡山,33.0,1828.0,2149.0,66.0,84.0,3.5,3.8,新概況 r07
2024,広島,38.0,6831.0,6741.0,224.0,257.0,3.2,3.7,新概況 r07
2024,山口,32.0,5956.0,13044.0,2939.0,8895.0,33.0,40.5,新概況 r07
2024,徳島,10.0,345.0,403.0,34.0,43.0,9.1,9.7,新概況 r07
2024,香川,6.0,825.0,952.0,33.0,52.0,3.9,5.2,新概況 r07
2024,愛媛,28.0,1203.0,1464.0,22.0,63.0,1.8,4.1,新概況 r07
2024,高知,19.0,4235.0,4526.0,242.0,285.0,5.4,5.9,新概況 r07
2024,福岡,38.0,2890.0,3440.0,217.0,204.0,7.0,5.6,新概況 r07
2024,佐賀,21.0,2604.0,3453.0,65.0,116.0,2.4,3.3,新概況 r07
2024,長崎,11.0,718.0,945.0,21.0,33.0,2.8,3.4,新概況 r07
2024,熊本,10.0,944.0,1302.0,41.0,24.0,4.2,1.8,新概況 r07
2024,大分,26.0,1837.0,1664.0,49.0,31.0,2.6,1.8,新概況 r07
2024,宮崎,2.0,,,,,,,新概況 r07
2024,鹿児島,2.0,,,,,,,新概況 r07
2024,沖縄,,,,,,,,新概況 r07
