year,prefecture,production_quantity_kl
2010,群馬,2656.0
2010,茨城,2263.0
2010,長崎,825.0
2010,長野,7973.0
2010,青森,2028.0
2010,静岡,3482.0
2010,香川,1162.0
2010,高知,4306.0
2010,鳥取,726.0
2011,三重,2085.0
2011,京都,88558.0
2011,佐賀,2249.0
2011,兵庫,126078.0
2011,北海道,4388.0
2011,千葉,2165.0
2011,和歌山,2204.0
2011,埼玉,16444.0
2011,大分,3467.0
2011,大阪,680.0
2011,奈良,3731.0
2011,宮城,6157.0
2011,富山,5179.0
2011,山口,2234.0
2011,山形,7600.0
2011,山梨,837.0
2011,岐阜,2726.0
2011,岡山,2801.0
2011,岩手,4044.0
2011,島根,1741.0
2011,広島,9413.0
2011,徳島,509.0
2011,愛媛,1877.0
2011,愛知,16794.0
2011,新潟,34870.0
2011,東京,10504.0
2011,栃木,6393.0
2011,滋賀,3573.0
2011,熊本,1257.0
2011,石川,5101.0
2011,神奈川,659.0
2011,福井,2155.0
2011,福岡,3305.0
2011,福島,11497.0
2011,秋田,16488.0
2011,群馬,2550.0
2011,茨城,3737.0
2011,長崎,823.0
2011,長野,7630.0
2011,青森,3059.0
2011,静岡,3099.0
2011,香川,854.0
2011,高知,4534.0
2011,鳥取,938.0
2012,三重,1522.0
2012,京都,87262.0
2012,佐賀,2242.0
2012,兵庫,123541.0
2012,北海道,3966.0
2012,千葉,2192.0
2012,和歌山,2031.0
2012,埼玉,15830.0
2012,大分,3043.0
2012,大阪,787.0
2012,奈良,3239.0
2012,宮城,7151.0
2012,富山,5038.0
2012,山口,2927.0
2012,山形,7817.0
2012,山梨,688.0
2012,岐阜,2080.0
2012,岡山,2298.0
2012,岩手,4169.0
2012,島根,1945.0
2012,広島,10027.0
2012,徳島,431.0
2012,愛媛,1506.0
2012,愛知,15493.0
2012,新潟,37024.0
2012,東京,11675.0
2012,栃木,5864.0
2012,滋賀,3258.0
2012,熊本,1074.0
2012,石川,4789.0
2012,神奈川,594.0
2012,福井,2368.0
2012,福岡,3247.0
2012,福島,10180.0
2012,秋田,14952.0
2012,群馬,2539.0
2012,茨城,3224.0
2012,長崎,820.0
2012,長野,7149.0
2012,青森,3790.0
2012,静岡,3288.0
2012,香川,951.0
2012,高知,3619.0
2012,鳥取,693.0
2013,三重,1699.0
2013,京都,88727.0
2013,佐賀,2296.0
2013,兵庫,119491.0
2013,北海道,2819.0
2013,千葉,2244.0
2013,和歌山,1955.0
2013,埼玉,18735.0
2013,大分,2964.0
2013,大阪,799.0
2013,奈良,3457.0
2013,宮城,6830.0
2013,富山,5357.0
2013,山口,3134.0
2013,山形,7443.0
2013,山梨,723.0
2013,岐阜,2761.0
2013,岡山,2444.0
2013,岩手,3947.0
2013,島根,1677.0
2013,広島,9183.0
