prefecture,sake_type,production_20deg_kl,brewery_count,year
長野,清酒全体,5922.0,66.0,2023
千葉,清酒全体,5361.0,25.0,2023
東京,清酒全体,1039.0,10.0,2023
神奈川,清酒全体,826.0,13.0,2023
山梨,清酒全体,7438.0,10.0,2023
富山,清酒全体,3016.0,16.0,2023
石川,清酒全体,3333.0,19.0,2023
福井,清酒全体,2421.0,21.0,2023
岐阜,清酒全体,3245.0,37.0,2023
静岡,清酒全体,2849.0,24.0,2023
愛知,清酒全体,8770.0,31.0,2023
三重,清酒全体,1967.0,24.0,2023
滋賀,清酒全体,1939.0,29.0,2023
京都,清酒全体,51087.0,38.0,2023
大阪,清酒全体,628.0,11.0,2023
兵庫,清酒全体,81102.0,58.0,2023
奈良,清酒全体,2214.0,26.0,2023
和歌山,清酒全体,1659.0,8.0,2023
鳥取,清酒全体,436.0,12.0,2023
島根,清酒全体,1464.0,28.0,2023
岡山,清酒全体,1154.0,24.0,2023
広島,清酒全体,5687.0,34.0,2023
山口,清酒全体,6830.0,21.0,2023
徳島,清酒全体,255.0,10.0,2023
香川,清酒全体,616.0,7.0,2023
愛媛,清酒全体,909.0,19.0,2023
高知,清酒全体,3800.0,18.0,2023
福岡,清酒全体,2319.0,33.0,2023
佐賀,清酒全体,2030.0,21.0,2023
長崎,清酒全体,715.0,10.0,2023
熊本,清酒全体,756.0,8.0,2023
大分,清酒全体,1129.0,19.0,2023
北海道,純米酒,958.0,15.0,2023
青森,純米酒,1207.0,14.0,2023
岩手,純米酒,601.0,20.0,2023
宮城,純米酒,2154.0,26.0,2023
秋田,純米酒,2316.0,32.0,2023
山形,純米酒,1476.0,40.0,2023
福島,純米酒,1895.0,47.0,2023
茨城,純米酒,551.0,22.0,2023
栃木,純米酒,1206.0,21.0,2023
群馬,純米酒,256.0,16.0,2023
埼玉,純米酒,1019.0,20.0,2023
新潟,純米酒,2805.0,65.0,2023
長野,純米酒,1236.0,54.0,2023
千葉,純米酒,438.0,20.0,2023
東京,純米酒,346.0,6.0,2023
神奈川,純米酒,264.0,11.0,2023
山梨,純米酒,1980.0,10.0,2023
富山,純米酒,242.0,12.0,2023
石川,純米酒,1954.0,19.0,2023
福井,純米酒,365.0,20.0,2023
岐阜,純米酒,627.0,32.0,2023
静岡,純米酒,929.0,21.0,2023
愛知,純米酒,476.0,24.0,2023
三重,純米酒,396.0,21.0,2023
滋賀,純米酒,401.0,27.0,2023
京都,純米酒,3537.0,29.0,2023
