year,prefecture,population_total_k,age_0_14_k,age_15_plus_k
1975,兵庫,4992.0,,
1975,北海道,5338.0,,
1975,千葉,4149.0,,
1975,和歌山,1072.0,,
1975,埼玉,4821.0,,
1975,大分,1190.0,,
1975,大阪,8279.0,,
1975,奈良,1077.0,,
1975,宮城,1955.0,,
1975,宮崎,1085.0,,
1975,富山,1071.0,,
1975,山口,1555.0,,
1975,山形,1220.0,,
1975,山梨,783.0,,
1975,岐阜,1868.0,,
1975,岡山,1814.0,,
1975,岩手,1386.0,,
1975,島根,769.0,,
1975,広島,2646.0,,
1975,徳島,805.0,,
1975,愛媛,1465.0,,
1975,愛知,5924.0,,
1975,新潟,2392.0,,
1975,東京,11674.0,,
1975,栃木,1698.0,,
1975,沖縄,1043.0,,
1975,滋賀,986.0,,
1975,熊本,1715.0,,
1975,石川,1070.0,,
1975,神奈川,6398.0,,
1975,福井,774.0,,
1975,福岡,4293.0,,
1975,福島,1971.0,,
1975,秋田,1232.0,,
1975,群馬,1756.0,,
1975,茨城,2342.0,,
1975,長崎,1572.0,,
1975,長野,2018.0,,
1975,青森,1469.0,,
1975,静岡,3309.0,,
1975,香川,961.0,,
1975,高知,808.0,,
1975,鳥取,581.0,,
1975,鹿児島,1724.0,,
1976,三重,1638.2,,
1976,京都,2445.4,,
1976,佐賀,843.6,,
1976,兵庫,5022.6,,
1976,北海道,5385.6,,
1976,千葉,4266.2,,
1976,和歌山,1075.0,,
1976,埼玉,4940.8,,
1976,大分,1197.8,,
1976,大阪,8317.8,,
1976,奈良,1103.4,,
1976,宮城,1980.4,,
1976,宮崎,1098.4,,
1976,富山,1077.4,,
1976,山口,1561.4,,
1976,山形,1226.4,,
1976,山梨,787.2,,
1976,岐阜,1886.4,,
1976,岡山,1825.4,,
1976,岩手,1393.2,,
1976,島根,772.2,,
1976,広島,2664.6,,
1976,徳島,809.0,,
1976,愛媛,1473.4,,
1976,愛知,5983.6,,
1976,新潟,2403.8,,
1976,東京,11662.8,,
1976,栃木,1716.8,,
1976,沖縄,1055.8,,
1976,滋賀,1004.8,,
1976,熊本,1730.0,,
1976,石川,1079.8,,
1976,神奈川,6503.2,,
1976,福井,778.0,,
1976,福岡,4345.0,,
1976,福島,1983.8,,
1976,秋田,1237.0,,
1976,群馬,1774.6,,
1976,茨城,2385.2,,
1976,長崎,1575.8,,
1976,長野,2031.2,,
1976,青森,1480.0,,
1976,静岡,3336.6,,
1976,香川,968.8,,
1976,高知,812.6,,
1976,鳥取,585.6,,
1976,鹿児島,1736.2,,
1977,三重,1650.4,,
1977,京都,2465.8,,
1977,佐賀,849.2,,
1977,兵庫,5053.2,,
1977,北海道,5433.2,,
1977,千葉,4383.4,,
1977,和歌山,1078.0,,
1977,埼玉,5060.6,,
1977,大分,1205.6,,
1977,大阪,8356.6,,
1977,奈良,1129.8,,
1977,宮城,2005.8,,
1977,宮崎,1111.8,,
1977,富山,1083.8,,
1977,山口,1567.8,,
1977,山形,1232.8,,
1977,山梨,791.4,,
1977,岐阜,1904.8,,
1977,岡山,1836.8,,
1977,岩手,1400.4,,
1977,島根,775.4,,
1977,広島,2683.2,,
1977,徳島,813.0,,
1977,愛媛,1481.8,,
1977,愛知,6043.2,,
1977,新潟,2415.6,,
1977,東京,11651.6,,
1977,栃木,1735.6,,
1977,沖縄,1068.6,,
1977,滋賀,1023.6,,
1977,熊本,1745.0,,
1977,石川,1089.6,,
1977,神奈川,6608.4,,
1977,福井,782.0,,
1977,福岡,4397.0,,
1977,福島,1996.6,,
1977,秋田,1242.0,,
1977,群馬,1793.2,,
