year,prefecture,production_quantity_kl
2016,愛媛,1611.0
2016,高知,4973.0
2016,福岡,3843.0
2016,佐賀,2798.0
2016,長崎,766.0
2016,熊本,1118.0
2016,大分,2586.0
2016,宮崎,
2016,鹿児島,
2016,沖縄,
2017,北海道,4270.0
2017,青森,4183.0
2017,岩手,3468.0
2017,宮城,7590.0
2017,秋田,16154.0
2017,山形,8749.0
2017,福島,11418.0
2017,茨城,3017.0
2017,栃木,8240.0
2017,群馬,2354.0
2017,埼玉,13991.0
2017,新潟,34639.0
2017,長野,8004.0
2017,千葉,6334.0
2017,東京,1352.0
2017,神奈川,911.0
2017,山梨,8647.0
2017,富山,4621.0
2017,石川,6274.0
2017,福井,3025.0
2017,岐阜,3792.0
2017,静岡,4224.0
2017,愛知,11844.0
2017,三重,2217.0
2017,滋賀,3521.0
2017,京都,70928.0
2017,大阪,887.0
2017,兵庫,111334.0
2017,奈良,3232.0
2017,和歌山,2284.0
2017,鳥取,916.0
2017,島根,1997.0
2017,岡山,2416.0
2017,広島,7683.0
2017,山口,8303.0
2017,徳島,432.0
2017,香川,873.0
2017,愛媛,1485.0
2017,高知,4589.0
2017,福岡,3774.0
2017,佐賀,2690.0
2017,長崎,788.0
2017,熊本,1379.0
2017,大分,2310.0
2017,宮崎,
2017,鹿児島,
2017,沖縄,
2018,北海道,4165.0
2018,青森,3812.0
2018,岩手,3260.0
2018,宮城,7001.0
2018,秋田,14575.0
2018,山形,8705.0
2018,福島,10808.182
2018,茨城,3255.0
2018,栃木,7764.531
2018,群馬,2675.0
2018,埼玉,18028.0
2018,新潟,34779.0
2018,長野,7557.0
2018,千葉,6270.0
2018,東京,1364.0
2018,神奈川,935.0
2018,山梨,8654.0
2018,富山,4057.0
2018,石川,6019.0
2018,福井,3009.0
2018,岐阜,3754.0
2018,静岡,3909.0
2018,愛知,11665.0
2018,三重,2404.0
2018,滋賀,3271.0
2018,京都,69168.0
2018,大阪,832.0
2018,兵庫,110391.0
2018,奈良,3144.0
2018,和歌山,2044.0
2018,鳥取,709.0
2018,島根,1867.0
2018,岡山,2287.0
2018,広島,7150.0
2018,山口,8617.0
2018,徳島,448.0
2018,香川,897.0
2018,愛媛,1341.0
2018,高知,4491.0
2018,福岡,3893.0
2018,佐賀,2791.0
2018,長崎,883.0
2018,熊本,1260.0
2018,大分,2004.0
2018,宮崎,
2018,鹿児島,
2018,沖縄,
2019,北海道,3701.0
2019,青森,3831.0
2019,岩手,3228.0
2019,宮城,6537.0
2019,秋田,14038.0
2019,山形,8462.0
2019,福島,9786.0
2019,茨城,2854.0
2019,栃木,6365.0
2019,群馬,2623.0
2019,埼玉,14839.0
2019,新潟,30678.0
2019,長野,7004.0
2019,千葉,5905.0
2019,東京,1303.0
2019,神奈川,900.0
2019,山梨,8202.0
2019,富山,3998.0
2019,石川,4897.0
2019,福井,2865.0
2019,岐阜,3556.0
2019,静岡,4677.0
2019,愛知,10231.0
2019,三重,2153.0
2019,滋賀,3069.0
2019,京都,65024.0
2019,大阪,743.0
2019,兵庫,96076.0
2019,奈良,3039.0
2019,和歌山,1865.0
2019,鳥取,685.0
2019,島根,1647.0
2019,岡山,1961.0
2019,広島,5762.0
2019,山口,7166.0
2019,徳島,403.0
2019,香川,861.0
2019,愛媛,1313.0
2019,高知,4325.0
2019,福岡,3113.0
2019,佐賀,2541.0
2019,長崎,690.0
2019,熊本,1100.0
2019,大分,1810.0
2019,宮崎,
2019,鹿児島,
2019,沖縄,
2020,北海道,2736.0
2020,青森,2707.0
2020,岩手,2331.0
2020,宮城,4947.0
2020,秋田,12220.0
2020,山形,6078.0
2020,福島,9047.0
2020,茨城,2180.0
2020,栃木,5879.0
2020,群馬,1975.0
2020,埼玉,17386.0
2020,新潟,26381.0
2020,長野,5631.0
2020,千葉,5122.0
2020,東京,985.0
2020,神奈川,591.0
2020,山梨,6345.0
2020,富山,2998.0
2020,石川,3690.0
2020,福井,2182.0
2020,岐阜,2816.0
2020,静岡,2654.0
2020,愛知,7790.0
2020,三重,1817.0
2020,滋賀,2541.0
2020,京都,54303.0
2020,大阪,585.0
2020,兵庫,87289.0
2020,奈良,1790.0
2020,和歌山,1300.0
2020,鳥取,505.0
2020,島根,1198.0
2020,岡山,1698.0
2020,広島,5340.0
2020,山口,6480.0
2020,徳島,277.0
2020,香川,480.0
2020,愛媛,974.0
2020,高知,3273.0
2020,福岡,2255.0
2020,佐賀,2101.0
2020,長崎,512.0
2020,熊本,677.0
2020,大分,1815.0
2020,宮崎,
2020,鹿児島,
2020,沖縄,
2021,北海道,2833.0
2021,青森,2848.0
2021,岩手,2189.0
2021,宮城,4851.0
2021,秋田,13122.0
2021,山形,6267.0
2021,福島,7552.0
2021,茨城,2180.0
2021,栃木,6082.0
2021,群馬,1781.0
2021,埼玉,17519.0
2021,新潟,27561.0
2021,長野,5327.0
2021,千葉,5157.0
2021,東京,951.0
2021,神奈川,700.0
2021,山梨,7078.0
2021,富山,2665.0
2021,石川,3415.0
2021,福井,2321.0
2021,岐阜,3130.0
2021,静岡,2706.0
2021,愛知,7550.0
2021,三重,1933.0
2021,滋賀,2538.0
2021,京都,49045.0
2021,大阪,490.0
2021,兵庫,90753.0
2021,奈良,2004.0
2021,和歌山,1288.0
2021,鳥取,446.0
2021,島根,1284.0
2021,岡山,1294.0
2021,広島,5988.0
2021,山口,7591.0
2021,徳島,261.0
2021,香川,531.0
2021,愛媛,830.0
2021,高知,3312.0
2021,福岡,2133.0
2021,佐賀,1715.0
2021,長崎,572.0
2021,熊本,603.0
2021,大分,1203.0
2021,宮崎,
2021,鹿児島,
2021,沖縄,
2022,北海道,2961.0
2022,青森,2993.0
2022,岩手,2773.0
2022,宮城,5996.0
2022,秋田,12348.0
2022,山形,7020.0
2022,福島,7392.0
2022,茨城,2293.0
2022,栃木,6593.0
2022,群馬,2192.0
2022,埼玉,17160.0
2022,新潟,30086.0
2022,長野,6388.0
2022,千葉,5386.0
2022,東京,1119.0
2022,神奈川,838.0
2022,山梨,7172.0
2022,富山,2697.0
2022,石川,3358.0
2022,福井,2541.0
2022,岐阜,3425.0
2022,静岡,3345.0
2022,愛知,8379.0
2022,三重,2102.0
2022,滋賀,2343.0
2022,京都,52047.0
2022,大阪,569.0
2022,兵庫,91802.0
2022,奈良,2233.0
2022,和歌山,1607.0
2022,鳥取,473.0
2022,島根,1371.0
2022,岡山,1491.0
2022,広島,5918.0
2022,山口,8678.0
2022,徳島,303.0
2022,香川,654.0
2022,愛媛,822.0
2022,高知,4028.0
2022,福岡,2493.0
2022,佐賀,2191.0
2022,長崎,693.0
2022,熊本,735.0
2022,大分,1183.0
2022,宮崎,
2022,鹿児島,
2022,沖縄,
2023,北海道,3121.0
2023,青森,3050.0
2023,岩手,2538.0
2023,宮城,6212.0
2023,秋田,12321.0
2023,山形,7289.0
2023,福島,7501.0
2023,茨城,2294.0
2023,栃木,6943.0
2023,群馬,2141.0
2023,埼玉,16875.0
2023,新潟,30375.0
2023,長野,6440.0
2023,千葉,4661.0
2023,東京,1098.0
2023,神奈川,924.0
2023,山梨,7511.0
2023,富山,2635.0
2023,石川,3108.0
2023,福井,2719.0
2023,岐阜,3777.0
2023,静岡,3386.0
2023,愛知,8957.0
2023,三重,2280.0
2023,滋賀,2560.0
2023,京都,52337.0
2023,大阪,628.0
2023,兵庫,85359.0
2023,奈良,2597.0
2023,和歌山,1740.0
2023,鳥取,558.0
2023,島根,1536.0
2023,岡山,1421.0
2023,広島,6696.0
2023,山口,8391.0
2023,徳島,307.0
2023,香川,665.0
2023,愛媛,1030.0
2023,高知,4076.0
2023,福岡,2597.0
2023,佐賀,2395.0
2023,長崎,854.0
2023,熊本,942.0
2023,大分,1078.0
2023,宮崎,
2023,鹿児島,
2023,沖縄,
